category,alcohol_100g,brands,brands_tags,carbohydrates_100g,categories,categories_tags,code,countries,countries_tags,energy-kcal_100g,energy-kj_100g,fat_100g,fiber_100g,ingredients_text,no_nutrition_data,nova_group,nutriscore_grade,nutriscore_score,origins,origins_tags,product_name,proteins_100g,quantity,salt_100g,saturated-fat_100g,serving_size,sodium_100g,sugars_100g,fruits-vegetables-nuts_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-a_100g,vitamin-d_100g,iron_100g,calcium_100g,pantothenic-acid_100g,vitamin-pp_100g,potassium_100g,fruits-vegetables-nuts-dried_100g,caffeine_100g,vitamin-b12_100g,vitamin-c_100g
snacks,0.0,"Lu,Mondelez","['lu', 'mondelez']",69.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits']",7622210449283,"Algeria,Belgium,France,French Polynesia,Germany,Guadeloupe,Hungary,Luxembourg,Martinique,Morocco,New Caledonia,Réunion,Spain,Switzerland,United States","['en:algeria', 'en:belgium', 'en:france', 'en:french-polynesia', 'en:germany', 'en:guadeloupe', 'en:hungary', 'en:luxembourg', 'en:martinique', 'en:morocco', 'en:new-caledonia', 'en:reunion', 'en:spain', 'en:switzerland', 'en:united-states']",467.0,1962.0,17.0,4.0,"Céréale 50,7% (Farine de _blé_ 35%, farine de _blé_complète 15,7%), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5%, sirop de glucose, amidon de _blé_, poudres à lever (carbonates acide d'ammonium, carbonates acide de sodium, diphosphate disodique), émulsifiant (lécithines de _soja_, lécithine de tournesol), sel, _lait_ écrémé en poudre, lactose et protéines de _lait_, arômes.Peut Contenir _Oeuf_",,4.0,d,15,,[],Prince Chocolat biscuits au blé complet,6.3,300 g,0.49,5.6,20g,0.196,32.0,,,,,,,,,,,,,,
snacks,,Gerblé,['gerble'],64.0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits secs","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:dry-biscuits']",3175680011480,"Belgique,France,Guadeloupe,Martinique,Maroc,La Réunion,Suisse,en:france","['en:belgium', 'en:france', 'en:guadeloupe', 'en:martinique', 'en:morocco', 'en:reunion', 'en:switzerland']",467.0,1961.0,18.0,4.6,"Farine de blé, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines de colza, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).",,4.0,b,1,"France,Union européenne,Non Union Européenne","['en:france', 'en:european-union', 'en:non-european-union']",Biscuit Sésame,10.0,230g,0.38,2.0,11.5g,0.152,17.0,0.0,0.00038,0.0583,,,,,,,,,,,
snacks,,Chocolaterie Monbana,['chocolaterie-monbana'],35.0,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, Chocolat noir à moins de 70% de cacao en tablette","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar-with-less-than-70-cocoa']",3474341105842,France,['en:france'],559.0,,41.0,,,,,e,23,,[],Chocolat noir 65% de cacao,6.8,,0.01,26.0,,0.004,32.0,,,,,,,,,,,,,,
snacks,,Lindt,['lindt'],34.0,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar,Dark chocolate bar with more than 70% cocoa","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar', 'en:dark-chocolate-bar-with-more-than-70-cocoa']",3046920022651,"Algeria,Belgium,Czech Republic,France,Germany,Guadeloupe,Italy,Morocco,Réunion,Spain,Switzerland","['en:algeria', 'en:belgium', 'en:czech-republic', 'en:france', 'en:germany', 'en:guadeloupe', 'en:italy', 'en:morocco', 'en:reunion', 'en:spain', 'en:switzerland']",566.0,2350.0,41.0,0.0,"cocoa paste, sugar, cocoa butter, vanilla,",,3.0,e,23,,[],70% Cacao noir intense,9.5,100 g,0.1,24.0,100g,0.04,30.0,,,,,,,,,,,,,,
snacks,,Lindt,['lindt'],14.0,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, en:extra-fine-dark-chocolates","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:extra-fine-dark-chocolates']",3046920029759,"Algeria,Belgium,Czech Republic,Finland,France,French Polynesia,Germany,Italy,Mauritius,Morocco,Netherlands,Réunion,Singapore,Spain,Sweden,Switzerland,United Kingdom","['en:algeria', 'en:belgium', 'en:czech-republic', 'en:finland', 'en:france', 'en:french-polynesia', 'en:germany', 'en:italy', 'en:mauritius', 'en:morocco', 'en:netherlands', 'en:reunion', 'en:singapore', 'en:spain', 'en:sweden', 'en:switzerland', 'en:united-kingdom']",592.0,,55.0,,"cocoa mass, cocoa butter, low-fat cocoa, sugar, vanilla,",,3.0,d,18,,[],Noir Excellence 90%,10.0,100 g,0.03,30.0,1.0 portion (20.0 g),0.012,7.0,,,,0.0,0.0,,,,,,,,,
snacks,,Lindt,['lindt'],22.0,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar']",3046920022606,"Austria,Belgium,France,Germany,Italy,Morocco,Netherlands,Réunion,Spain,Switzerland","['en:austria', 'en:belgium', 'en:france', 'en:germany', 'en:italy', 'en:morocco', 'en:netherlands', 'en:reunion', 'en:spain', 'en:switzerland']",584.0,2418.0,46.0,0.0,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille. Peut contenir du lait, des fruits à coque, du soja et des graines de sésame.",,3.0,e,20,,[],Excellence 85% Cacao Chocolat Noir Puissant,12.5,100g,0.02,27.0,100g,0.008,15.0,,,,,,,,,,,,,,
snacks,,Tuc,['tuc'],67.0,"Snacks, Salty snacks, Appetizers, Crackers, en:biscuits","['en:snacks', 'en:salty-snacks', 'en:sweet-snacks', 'en:appetizers', 'en:biscuits-and-cakes', 'en:biscuits', 'en:crackers']",5410041001204,"Austria,Bélgica,Dinamarca,Estonia,Finlandia,Francia,Alemania,Italia,Luxemburgo,Malta,Marruecos,Países Bajos,Portugal,España,Suecia,Suiza","['en:austria', 'en:belgium', 'en:denmark', 'en:estonia', 'en:finland', 'en:france', 'en:germany', 'en:italy', 'en:luxembourg', 'en:malta', 'en:morocco', 'en:netherlands', 'en:portugal', 'en:spain', 'en:sweden', 'en:switzerland']",482.0,2021.0,19.0,2.4,"2000 kcal) middelde volwassene (8400 kJ/2000 kcal)./ στητά αναφοράς ενός μέσου ενήλικα (8400 kJ / 2000 kcal). / Wederland, Postbus 1146, 4801 BC Breda Consumentenservice NL: 0900-4902902 0,10 EUR/min. www.lu.nl Mondelez straat 100, 2800 Mechelen Service consommateurs /Consumentenservice BE: 070-663 563/ LU: 900-42042 0,15 EUR/min. Mondelez Ελλάς Α.Ε. Αριστοτέλους 15-21, 144 51 Μεταμόρφωση Αττικής. Τηλ.: 210 28 89000. Γραμμή Καταναλωτών 1111 Aupic Aptuon Mondelez Portugal Unipessoal, Lda., Est. Seminário, 4-Alfrapark, Edf. C, Piso 3 Sul 2610-171 Amadora, o Consumidor. Tel. 800 100 951 (9-18 dias úteis) Mondelez Deutschland GmbH, D-28078 Bremen. Verbraucherservice Mondelez Osterreich GmbH, Schönbrunner Strasse 297-307, A-1120 Wien. Verbraucherservice 00800 83 00 00 36. mational.com Mondelēz International 5 410041 001204",null,,e,20,Bélgica,['en:belgium'],,8.3,100 g,1.7,9.0,30g,0.68,7.1,,,,,,,,,,,,,,
snacks,,"Nutella,Ferrero, Nutella - Ferrero","['nutella', 'ferrero', 'nutella-ferrero']",64.0,"Botanas,Snacks dulces,Galletas y pasteles,Galletas,Galletas rellenas","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:filled-biscuits']",8000500310427,"Francia,Alemania,Italia,Marruecos,Rumania,España,Suiza","['en:france', 'en:germany', 'en:italy', 'en:morocco', 'en:romania', 'en:spain', 'en:switzerland']",515.0,2158.0,24.8,0.0,"Pâte à tartiner aux NOISETTES et au cacao 40% (sucre, huile de palme, NOISETTES 13%**, LAIT écrémé en poudre 8,7%**, cacao maigre 7,4%**, émulsifiants : lécithines [SOJA]; vanilline), farine de FROMENT 32,5%, graisses végétales (palme, palmiste), sucre de canne (contient BLE) 8,5%, LACTOSE, son de BLE, LAIT en poudre, miel, poudres à lever (diphosphate disodique, carbonate acide de sodium, carbonate acide d'ammonium), farine d'ORGE malté, cacao maigre en poudre, sel, extrait en poudre de malt d'ORGE et de maïs, amidon de FROMENT, émulsifiants: lécithines [SOJA]; vanilline. Peut contenir MOUTARDE.",,4.0,e,25,,[],Ferrero- Nutella Biscuits Resealable Bag,7.9,304 g,0.559,11.5,13.8g,0.2236,35.8,,,,,,,,,,,,,,
snacks,,lu,['lu'],73.0,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Tartines craquantes extrudées","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:extruded-crispbreads']",3041090063206,"Belgique,France,Luxembourg,La Réunion,Suisse","['en:belgium', 'en:france', 'en:luxembourg', 'en:reunion', 'en:switzerland']",377.0,1595.0,3.1,7.5,"Céréales 98,5 % (farine complète de blé 66,2 %, farine de seigle 12,1 %, farine de blé 10,1 %, farine de riz 3,2 %, farine de blé malté 2,1 %, farine de sarrasin 1,6 %, farine d'orge 1,6 %, semoule de blé 1,6 %), sucre, lactosérum en poudre (de lait), sel, huile de palme, germes de blé. Peut contenir soja, sésame.",,4.0,c,7,,[],Cracotte Céréales Complètes,11.0,250,1.6,1.0,37g,0.64,8.1,,,,,,,,,,,,,,
snacks,,Wasa,['wasa'],62.0,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Breads,Crispbreads","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:breads', 'en:crispbreads']",7300400481595,"France,Italy,Spain,Switzerland","['en:france', 'en:italy', 'en:spain', 'en:switzerland']",336.0,1415.0,1.5,19.0,"Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LAIT et de GRAINES DE SÉSAME. *en g pour 100 g de produit.",,3.0,a,-2,,[],Tartine croustillante Authentique,9.0,275 g,1.0,0.4,11.4 g (1 tranche),0.4,1.0,,,,,,0.0026,,,,,,,,
